Seed,Listed Name,Team,Grade,Record,Scoring,Weight,Last Name,First Name,Name,Wgt-Seed,Full Listing,Points,,,,,,,,,,,
20,"Farber, Julian",Northern Iowa,,18-9,Yes,133,Farber,Julian,Julian Farber,133lbs-20,#20 Julian Farber (UNI) 18-9,0,,,,,,,,,,,
21,"Spidle, Sean",Northwestern,,15-8,Yes,133,Spidle,Sean,Sean Spidle,133lbs-21,#21 Sean Spidle (NW) 15-8,0,,,,,,,,,,,
22,"Redding, Zach",NC State,,8-Dec,Yes,133,Redding,Zach,Zach Redding,133lbs-22,#22 Zach Redding (NCST) 12-8,0,,,,,,,,,,,
23,"Brown, Braxton",Maryland,,17-9,Yes,133,Brown,Braxton,Braxton Brown,133lbs-23,#23 Braxton Brown (MARY) 17-9,0,,,,,,,,,,,
24,"Boarman, Blake",Purdue,,15-Dec,Yes,133,Boarman,Blake,Blake Boarman,133lbs-24,#24 Blake Boarman (PUR) 12-15,0,,,,,,,,,,,
25,"Betancourt, Will",Rider,,23-8,Yes,133,Betancourt,Will,Will Betancourt,133lbs-25,#25 Will Betancourt (RID) 23-8,0,,,,,,,,,,,
26,"Shawver, Dylan",Rutgers,,20-11,Yes,133,Shawver,Dylan,Dylan Shawver,133lbs-26,#26 Dylan Shawver (RUT) 20-11,0,,,,,,,,,,,
27,"Lopez, Marcel",SIU Edwardsville,,26-9,Yes,133,Lopez,Marcel,Marcel Lopez,133lbs-27,#27 Marcel Lopez (SIUE) 26-9,0,,,,,,,,,,,
28,"Grice, Garrett",Iowa State,,3-Jun,Yes,133,Grice,Garrett,Garrett Grice,133lbs-28,#28 Garrett Grice (ISU) 6-3,0,,,,,,,,,,,
29,"Willochell, Luke",Wyoming,,15-10,Yes,133,Willochell,Luke,Luke Willochell,133lbs-29,#29 Luke Willochell (WYO) 15-10,0,,,,,,,,,,,
30,"Whisenhunt, Gabe",Oregon State,,8-Sep,Yes,133,Whisenhunt,Gabe,Gabe Whisenhunt,133lbs-30,#30 Gabe Whisenhunt (ORST) 8-Sep,0,,,,,,,,,,,
31,"Strickland, Gable",Lock Haven,,26-9,Yes,133,Strickland,Gable,Gable Strickland,133lbs-31,#31 Gable Strickland (LHU) 26-9,0,,,,,,,,,,,
32,"Austin, Andrew",Central Michigan,,20-13,Yes,133,Austin,Andrew,Andrew Austin,133lbs-32,#32 Andrew Austin (CMU) 20-13,0,,,,,,,,,,,
33,"Schmidt, Carter",Oklahoma,,14-Jul,Yes,133,Schmidt,Carter,Carter Schmidt,133lbs-33,#33 Carter Schmidt (OU) 7-14,0,,,,,,,,,,,
1,"Mendez, Jesse",Ohio State,,22-0,Yes,141,Mendez,Jesse,Jesse Mendez,141lbs-1,#1 Jesse Mendez (OHST) 22-0,28.5,,,,,,,,,,,
2,"Vega, Sergio",Oklahoma State,,19-0,Yes,141,Vega,Sergio,Sergio Vega,141lbs-2,#2 Sergio Vega (OKST) 19-0,0,,,,,,,,,,,
3,"Hardy, Brock",Nebraska,,20-5,Yes,141,Hardy,Brock,Brock Hardy,141lbs-3,#3 Brock Hardy (NEB) 20-5,0,,,,,,,,,,,
